row,device,ace_text
27,HueBulbMud,ingress ipv4 tcp src:www2.meethue.com src-port:443
28,HueBulbMud,ingress ipv4 udp src:time1.google.com src-port:123
29,HueBulbMud,ingress ipv4 udp src:time3.google.com src-port:123
30,HueBulbMud,ingress ipv4 tcp src:time.meethue.com src-port:443
31,HueBulbMud,ingress ipv4 tcp src:fds.cpp.philips.com src-port:80
32,HueBulbMud,ingress controller:gateway ipv4 udp src-port:67
33,HueBulbMud,ingress local ipv4 tcp (direction-initiated:to-device) dst-port:80
34,HueBulbMud,egress local ipv6 0 dst:ff00::/8
35,HueBulbMud,egress controller:gateway ipv6 58
36,HueBulbMud,egress local ipv6 udp dst:ff00::/8 dst-port:5353
37,HueBulbMud,egress local ipv6 58 dst:ff00::/8
38,NetatmoCameraMud,egress ipv4 udp dst:2.android.pool.ntp.org dst-port:123
39,NetatmoCameraMud,egress local eth:0x0800 mac:ff:ff:ff:ff:ff:ff ipv4 udp dst:255.255.255.255/32 dst-port:67
40,NetatmoCameraMud,egress ipv4 1 dst:v7.netatmo.net
41,NetatmoCameraMud,egress ipv4 udp dst:v4.netatmo.net dst-port:4500
42,NetatmoCameraMud,egress ipv4 udp dst:v2.netatmo.net dst-port:500
43,NetatmoCameraMud,egress ipv4 udp dst:vpn.netatmo.net dst-port:500
44,NetatmoCameraMud,egress controller:dns ipv4 udp dst-port:53
45,NetatmoCameraMud,egress ipv4 1 dst:v9.netatmo.net
46,NetatmoCameraMud,egress ipv4 1 dst:v3.netatmo.net
47,NetatmoCameraMud,egress ipv4 1 dst:v4.netatmo.net
48,NetatmoCameraMud,egress ipv4 1 dst:v8.netatmo.net
49,NetatmoCameraMud,egress controller:gateway ipv4 udp dst-port:67
50,NetatmoCameraMud,egress ipv4 udp dst:v2.netatmo.net dst-port:4500
51,NetatmoCameraMud,egress ipv4 1 dst:vpn.netatmo.net
52,NetatmoCameraMud,egress ipv4 1 dst:v2.netatmo.net
53,NetatmoCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:clients3.google.com dst-port:80
54,NetatmoCameraMud,egress ipv4 1 dst:v5.netatmo.net
55,NetatmoCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:apicom.netatmo.net dst-port:443
56,NetatmoCameraMud,egress ipv4 udp dst:3.android.pool.ntp.org dst-port:123
57,NetatmoCameraMud,egress ipv4 udp dst:v4.netatmo.net dst-port:500
58,NetatmoCameraMud,egress ipv4 udp dst:vpn.netatmo.net dst-port:4500
59,NetatmoCameraMud,egress local ipv4 tcp src-port:80
60,NetatmoCameraMud,ingress ipv4 udp src:vpn.netatmo.net src-port:4500
61,NetatmoCameraMud,ingress controller:dns ipv4 udp src-port:53
62,NetatmoCameraMud,ingress ipv4 1 src:v3.netatmo.net
63,NetatmoCameraMud,ingress ipv4 udp src:2.android.pool.ntp.org src-port:123
64,NetatmoCameraMud,ingress ipv4 1 src:v8.netatmo.net
65,NetatmoCameraMud,ingress ipv4 1 src:v4.netatmo.net
66,NetatmoCameraMud,ingress ipv4 tcp src:clients3.google.com src-port:80
67,NetatmoCameraMud,ingress ipv4 tcp src:apicom.netatmo.net src-port:443
68,NetatmoCameraMud,ingress ipv4 udp src:v2.netatmo.net src-port:500
69,NetatmoCameraMud,ingress ipv4 udp src:v4.netatmo.net src-port:500
70,NetatmoCameraMud,ingress ipv4 udp src:vpn.netatmo.net src-port:500
71,NetatmoCameraMud,ingress ipv4 1 src:vpn.netatmo.net
72,NetatmoCameraMud,ingress ipv4 udp src:3.android.pool.ntp.org src-port:123
73,NetatmoCameraMud,ingress ipv4 1 src:v2.netatmo.net
74,NetatmoCameraMud,ingress controller:gateway ipv4 udp src-port:67
75,NetatmoCameraMud,ingress ipv4 1 src:v7.netatmo.net
76,NetatmoCameraMud,ingress ipv4 udp src:v2.netatmo.net src-port:4500
77,NetatmoCameraMud,ingress ipv4 1 src:v9.netatmo.net
78,NetatmoCameraMud,ingress local ipv4 tcp (direction-initiated:to-device) dst-port:80
79,NetatmoCameraMud,ingress ipv4 1 src:v5.netatmo.net
80,NetatmoCameraMud,ingress ipv4 udp src:v4.netatmo.net src-port:4500
81,NetatmoCameraMud,egress controller:gateway ipv6 58
82,NetatmoCameraMud,egress local ipv6 58 dst:ff00::/8
83,NetatmoCameraMud,egress local ipv6 0 dst:ff00::/8
84,NetatmoCameraMud,egress local eth:0x0006
85,NetatmoCameraMud,egress local eth:0x888e
86,NetatmoWeatherStationMud,egress controller:gateway ipv4 udp dst-port:67
87,NetatmoWeatherStationMud,egress controller:dns ipv4 udp dst-port:53
88,NetatmoWeatherStationMud,egress local eth:0x0800 mac:ff:ff:ff:ff:ff:ff ipv4 udp dst:255.255.255.255/32 dst-port:67
89,NetatmoWeatherStationMud,egress ipv4 tcp (direction-initiated:from-device) dst:netcom.netatmo.net dst-port:25050
90,NetatmoWeatherStationMud,ingress controller:dns ipv4 udp src-port:53
91,NetatmoWeatherStationMud,ingress ipv4 tcp src:netcom.netatmo.net src-port:25050
92,NetatmoWeatherStationMud,ingress controller:gateway ipv4 udp src-port:67
93,NetatmoWeatherStationMud,egress local eth:0x888e
94,NetatmoWeatherStationMud,egress local eth:0x0006
95,SmartThingsMud,egress ipv4 udp dst:pool.ntp.org dst-port:123
96,SmartThingsMud,egress controller:dns ipv4 udp dst-port:53
97,SmartThingsMud,egress ipv4 tcp (direction-initiated:from-device) dst:dc-na02-useast1.connect.smartthings.com dst-port:443
98,SmartThingsMud,egress local eth:0x0800 mac:ff:ff:ff:ff:ff:ff ipv4 udp dst:255.255.255.255/32 dst-port:67
99,SmartThingsMud,egress local ipv4 udp dst:239.255.255.250/32 dst-port:1900
100,SmartThingsMud,egress ipv4 tcp (direction-initiated:from-device) dst:DC.connect.smartthings.com dst-port:443
101,SmartThingsMud,ingress local ipv4 udp dst-port:39402
102,SmartThingsMud,ingress local ipv4 udp dst-port:39401
103,SmartThingsMud,ingress controller:dns ipv4 udp src-port:53
104,SmartThingsMud,ingress ipv4 tcp src:DC.connect.smartthings.com src-port:443
105,SmartThingsMud,ingress controller:gateway ipv4 udp src-port:67
106,SmartThingsMud,ingress ipv4 tcp src:dc-na02-useast1.connect.smartthings.com src-port:443
107,SmartThingsMud,ingress local ipv4 udp dst-port:39400
108,SmartThingsMud,ingress ipv4 udp src:pool.ntp.org src-port:123
109,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:dcape-na.amazon.com dst-port:443
110,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:softwareupdates.amazon.com dst-port:443
111,amazonEchoMud,egress ipv4 udp dst:3.north-america.pool.ntp.org dst-port:123
112,amazonEchoMud,egress local ipv4 igmp dst:224.0.0.22/32
113,amazonEchoMud,egress local ipv4 udp dst:239.255.255.250/32 dst-port:1900
114,amazonEchoMud,egress local eth:0x0800 mac:ff:ff:ff:ff:ff:ff ipv4 udp dst:255.255.255.255/32 dst-port:67
115,amazonEchoMud,egress ipv4 udp dst:ntp-g7g.amazon.com dst-port:123
116,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:todo-ta-g7g.amazon.com dst-port:443
117,amazonEchoMud,egress controller:gateway ipv4 1
118,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:www.example.org dst-port:80
119,amazonEchoMud,egress controller:dns ipv4 udp dst-port:53
120,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:pindorama-us-west-2.amazon.com dst-port:443
121,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:tinytts-us-west-2.amazon.com dst-port:443
122,amazonEchoMud,egress ipv4 udp dst:208.67.220.220/32 dst-port:53
123,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:device-fingerprintdb-v1.s3.amazonaws.com dst-port:443
124,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:api.amazonalexa.com dst-port:443
125,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:www.example.com dst-port:80
126,amazonEchoMud,egress ipv4 udp dst:1.north-america.pool.ntp.org dst-port:123
127,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:www.meethue.com dst-port:443
128,amazonEchoMud,egress controller:gateway ipv4 udp dst-port:67
129,amazonEchoMud,egress ipv4 udp dst:2.north-america.pool.ntp.org dst-port:123
130,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:kindle-time.amazon.com dst-port:80
131,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:device-metrics-us.amazon.com dst-port:443
132,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:files.whooshkaa.com dst-port:443
133,amazonEchoMud,egress local ipv4 udp dst:224.0.0.251/32 dst-port:5353
134,amazonEchoMud,egress ipv4 udp dst:pins.amazon.com dst-port:33434
135,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:media.whooshkaa.com dst-port:443
136,amazonEchoMud,egress ipv4 udp dst:0.north-america.pool.ntp.org dst-port:123
137,amazonEchoMud,egress ipv4 tcp (direction-initiated:from-device) dst:www.example.net dst-port:80
138,amazonEchoMud,ingress ipv4 udp src:3.north-america.pool.ntp.org src-port:123
139,amazonEchoMud,ingress ipv4 udp src:ntp-g7g.amazon.com src-port:123
140,amazonEchoMud,ingress ipv4 tcp src:api.amazonalexa.com src-port:443
141,amazonEchoMud,ingress ipv4 tcp src:tinytts-us-west-2.amazon.com src-port:443
142,amazonEchoMud,ingress ipv4 udp src:2.north-america.pool.ntp.org src-port:123
143,amazonEchoMud,ingress ipv4 tcp src:todo-ta-g7g.amazon.com src-port:443
144,amazonEchoMud,ingress ipv4 udp src:1.north-america.pool.ntp.org src-port:123
145,amazonEchoMud,ingress ipv4 udp src:0.north-america.pool.ntp.org src-port:123
146,amazonEchoMud,ingress ipv4 tcp src:www.example.com src-port:80
147,amazonEchoMud,ingress controller:gateway ipv4 udp src-port:67
148,amazonEchoMud,ingress ipv4 udp src:208.67.220.220/32 src-port:53
149,amazonEchoMud,ingress ipv4 tcp src:device-metrics-us.amazon.com src-port:443
150,amazonEchoMud,ingress controller:gateway ipv4 1
151,amazonEchoMud,ingress ipv4 tcp src:device-fingerprintdb-v1.s3.amazonaws.com src-port:443
152,amazonEchoMud,ingress controller:dns ipv4 udp src-port:53
153,amazonEchoMud,ingress ipv4 tcp src:dcape-na.amazon.com src-port:443
154,amazonEchoMud,ingress ipv4 tcp src:www.meethue.com src-port:443
155,amazonEchoMud,ingress ipv4 tcp src:files.whooshkaa.com src-port:443
156,amazonEchoMud,ingress ipv4 udp src:pins.amazon.com src-port:33434
157,amazonEchoMud,ingress ipv4 tcp src:kindle-time.amazon.com src-port:80
158,amazonEchoMud,ingress ipv4 tcp src:media.whooshkaa.com src-port:443
159,amazonEchoMud,ingress ipv4 tcp src:softwareupdates.amazon.com src-port:443
160,amazonEchoMud,ingress ipv4 tcp src:www.example.net src-port:80
161,amazonEchoMud,ingress local ipv4 udp dst-port:50000
162,amazonEchoMud,ingress ipv4 tcp src:www.example.org src-port:80
163,amazonEchoMud,ingress ipv4 tcp src:pindorama-us-west-2.amazon.com src-port:443
164,amazonEchoMud,egress local eth:0x0006
165,amazonEchoMud,egress local eth:0x888e
166,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:336971aac5bba454b967-3ec27f5c732731b07836c69a45967ad6.ssl.cf1.rackcdn.com dst-port:443
167,augustdoorbellcamMud,egress local eth:0x0800 mac:ff:ff:ff:ff:ff:ff ipv4 udp dst:255.255.255.255/32 dst-port:67
168,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rpsv2.video-cloud.net dst-port:443
169,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:iconfig.august.com dst-port:443
170,augustdoorbellcamMud,egress controller:dns ipv4 udp dst-port:53
171,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rpsv12.video-cloud.net dst-port:443
172,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:vcsv2.video-cloud.net dst-port:443
173,augustdoorbellcamMud,egress ipv4 1 dst:8.8.4.4/32
174,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rpsv3.video-cloud.net dst-port:443
175,augustdoorbellcamMud,egress ipv4 1 dst:doorbells.august.com
176,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rpsv7.video-cloud.net dst-port:443
177,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:v2servers.video-cloud.net dst-port:443
178,augustdoorbellcamMud,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
179,augustdoorbellcamMud,egress controller:gateway ipv4 udp dst-port:67
180,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rpsv11.video-cloud.net dst-port:443
181,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rpsv222.video-cloud.net dst-port:443
182,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:august.pubnub.com dst-port:443
183,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:logger.august.com dst-port:443
184,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:s3-us-west-2.amazonaws.com dst-port:443
185,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rpsv4.video-cloud.net dst-port:443
186,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:doorbells.august.com dst-port:443
187,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rbs-sticky.august.com dst-port:443
188,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rpsv1.video-cloud.net dst-port:443
189,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rpsv10.video-cloud.net dst-port:443
190,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:rpsv5.video-cloud.net dst-port:443
191,augustdoorbellcamMud,egress ipv4 tcp (direction-initiated:from-device) dst:dmsv2.video-cloud.net dst-port:443
192,augustdoorbellcamMud,egress ipv4 1 dst:8.8.8.8/32
193,augustdoorbellcamMud,ingress ipv4 tcp src:rpsv7.video-cloud.net src-port:443
194,augustdoorbellcamMud,ingress ipv4 tcp src:august.pubnub.com src-port:443
195,augustdoorbellcamMud,ingress ipv4 tcp src:rpsv2.video-cloud.net src-port:443
196,augustdoorbellcamMud,ingress ipv4 tcp src:s3-us-west-2.amazonaws.com src-port:443
197,augustdoorbellcamMud,ingress ipv4 tcp src:logger.august.com src-port:443
198,augustdoorbellcamMud,ingress ipv4 tcp src:336971aac5bba454b967-3ec27f5c732731b07836c69a45967ad6.ssl.cf1.rackcdn.com src-port:443
199,augustdoorbellcamMud,ingress ipv4 tcp src:rpsv11.video-cloud.net src-port:443
200,augustdoorbellcamMud,ingress ipv4 tcp src:dmsv2.video-cloud.net src-port:443
201,augustdoorbellcamMud,ingress controller:gateway ipv4 udp src-port:67
202,augustdoorbellcamMud,ingress ipv4 1 src:doorbells.august.com
203,augustdoorbellcamMud,ingress ipv4 udp src:8.8.8.8/32 src-port:53
204,augustdoorbellcamMud,ingress ipv4 tcp src:rpsv1.video-cloud.net src-port:443
205,augustdoorbellcamMud,ingress ipv4 tcp src:rpsv4.video-cloud.net src-port:443
206,augustdoorbellcamMud,ingress ipv4 tcp src:rpsv3.video-cloud.net src-port:443
207,augustdoorbellcamMud,ingress controller:dns ipv4 udp src-port:53
208,augustdoorbellcamMud,ingress ipv4 tcp src:v2servers.video-cloud.net src-port:443
209,augustdoorbellcamMud,ingress ipv4 tcp src:iconfig.august.com src-port:443
210,augustdoorbellcamMud,ingress ipv4 tcp src:rpsv222.video-cloud.net src-port:443
211,augustdoorbellcamMud,ingress ipv4 tcp src:rpsv10.video-cloud.net src-port:443
212,augustdoorbellcamMud,ingress ipv4 tcp src:doorbells.august.com src-port:443
213,augustdoorbellcamMud,ingress ipv4 tcp src:vcsv2.video-cloud.net src-port:443
214,augustdoorbellcamMud,ingress ipv4 tcp src:rpsv5.video-cloud.net src-port:443
215,augustdoorbellcamMud,ingress ipv4 1 src:8.8.8.8/32
216,augustdoorbellcamMud,ingress ipv4 1 src:8.8.4.4/32
217,augustdoorbellcamMud,ingress ipv4 tcp src:rbs-sticky.august.com src-port:443
218,augustdoorbellcamMud,ingress ipv4 tcp src:rpsv12.video-cloud.net src-port:443
219,augustdoorbellcamMud,egress local ipv6 udp dst:ff00::/8 dst-port:547
220,augustdoorbellcamMud,egress local ipv6 58 dst:ff00::/8
221,augustdoorbellcamMud,egress ipv6 58 dst:192.168.1.1
222,augustdoorbellcamMud,egress ipv6 udp dst:fdc1:1bdc:1e84:0:0:0:0:1 dst-port:53
223,augustdoorbellcamMud,egress local ipv6 0 dst:ff00::/8
224,augustdoorbellcamMud,egress ipv6 udp dst:fdc9:ace6:d6ec:4:0:0:0:1 dst-port:53
225,augustdoorbellcamMud,egress local ipv6 58
226,augustdoorbellcamMud,ingress controller:gateway ipv6 udp src-port:547
227,augustdoorbellcamMud,ingress ipv6 udp src:fdc9:ace6:d6ec:4:0:0:0:1 src-port:53
228,augustdoorbellcamMud,ingress ipv6 udp src:fdc1:1bdc:1e84:0:0:0:0:1 src-port:53
229,augustdoorbellcamMud,egress local eth:0x0006
230,augustdoorbellcamMud,egress local eth:0x888e
231,awairAirQualityMud,egress controller:gateway ipv4 udp dst-port:67
232,awairAirQualityMud,egress controller:dns ipv4 udp dst-port:53
233,awairAirQualityMud,egress ipv4 tcp (direction-initiated:from-device) dst:ota.awair.is dst-port:443
234,awairAirQualityMud,egress ipv4 tcp (direction-initiated:from-device) dst:timeserver.awair.is dst-port:443
235,awairAirQualityMud,egress local eth:0x0800 mac:ff:ff:ff:ff:ff:ff ipv4 udp dst:255.255.255.255/32 dst-port:67
236,awairAirQualityMud,egress ipv4 tcp dst:messaging.awair.is dst-port:8883
237,awairAirQualityMud,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
238,awairAirQualityMud,ingress ipv4 tcp src:messaging.awair.is src-port:8883
239,awairAirQualityMud,ingress controller:dns ipv4 udp src-port:53
240,awairAirQualityMud,ingress ipv4 tcp src:timeserver.awair.is src-port:443
241,awairAirQualityMud,ingress controller:gateway ipv4 udp src-port:67
242,awairAirQualityMud,ingress ipv4 udp src:8.8.8.8/32 src-port:53
243,awairAirQualityMud,ingress ipv4 tcp src:ota.awair.is src-port:443
244,awairAirQualityMud,egress local eth:0x888e
245,awairAirQualityMud,egress local eth:0x0006
246,belkincameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:origin.belkin-us.tendplatform.com dst-port:443
247,belkincameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:api.xbcs.net dst-port:8443
248,belkincameraMud,egress ipv4 tcp (direction-initiated:from-device) dst-port:5104
249,belkincameraMud,egress controller:gateway ipv4 udp dst-port:67
250,belkincameraMud,egress local ipv4 udp dst:239.255.255.250/32 dst-port:1900
251,belkincameraMud,egress ipv4 tcp (direction-initiated:from-device) dst-port:3478
252,belkincameraMud,egress controller:gateway ipv4 1
253,belkincameraMud,egress ipv4 1 dst:ping.seedonk.com
254,belkincameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:prod1-nat-xbcs-net-1543133972.us-east-1.elb.amazonaws.com dst-port:3475
255,belkincameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:devices.xbcs.net dst-port:8899
256,belkincameraMud,egress local ipv4 tcp src-port:9207
257,belkincameraMud,egress ipv4 udp dst:time.windows.com dst-port:123
258,belkincameraMud,egress local ipv4 igmp dst:239.255.255.250/32
259,belkincameraMud,egress controller:dns ipv4 udp dst-port:53
260,belkincameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:origin.belkin-us.tendplatform.com dst-port:5104
261,belkincameraMud,egress local ipv4 tcp src-port:49154
262,belkincameraMud,egress local ipv4 udp
263,belkincameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:nat.xbcs.net dst-port:3475
264,belkincameraMud,egress local ipv4 igmp dst:224.0.0.2/32
265,belkincameraMud,egress ipv4 1 dst:www.google.com
266,belkincameraMud,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
267,belkincameraMud,egress local ipv4 tcp src-port:49153
268,belkincameraMud,ingress ipv4 1 src:ping.seedonk.com
269,belkincameraMud,ingress controller:gateway ipv4 1
270,belkincameraMud,ingress ipv4 tcp src:origin.belkin-us.tendplatform.com src-port:443
271,belkincameraMud,ingress controller:dns ipv4 udp src-port:53
272,belkincameraMud,ingress ipv4 tcp src:origin.belkin-us.tendplatform.com src-port:5104
273,belkincameraMud,ingress local ipv4 tcp (direction-initiated:to-device) dst-port:49153
274,belkincameraMud,ingress ipv4 tcp src:devices.xbcs.net src-port:8899
275,belkincameraMud,ingress local ipv4 tcp (direction-initiated:to-device) dst-port:9207
276,belkincameraMud,ingress ipv4 udp src:time.windows.com src-port:123
277,belkincameraMud,ingress local ipv4 tcp (direction-initiated:to-device) dst-port:49154
278,belkincameraMud,ingress local ipv4 udp
279,belkincameraMud,ingress ipv4 1 src:www.google.com
280,belkincameraMud,ingress controller:gateway ipv4 udp src-port:67
281,belkincameraMud,ingress ipv4 tcp src-port:5104
282,belkincameraMud,ingress ipv4 udp src:8.8.8.8/32 src-port:53
283,belkincameraMud,ingress ipv4 tcp src:prod1-nat-xbcs-net-1543133972.us-east-1.elb.amazonaws.com src-port:3475
284,belkincameraMud,ingress ipv4 tcp src-port:3478
285,belkincameraMud,ingress ipv4 tcp src:nat.xbcs.net src-port:3475
286,belkincameraMud,ingress ipv4 tcp src:api.xbcs.net src-port:8443
287,belkincameraMud,egress local eth:0x888e
288,belkincameraMud,egress local eth:0x0006
289,blipcareBPmeterMud,egress local ipv4 igmp dst:224.0.0.1/32
290,blipcareBPmeterMud,egress ipv4 tcp (direction-initiated:from-device) dst:tech.carematix.com dst-port:8777
291,blipcareBPmeterMud,egress controller:dns ipv4 udp dst-port:53
292,blipcareBPmeterMud,egress local eth:0x0800 mac:ff:ff:ff:ff:ff:ff ipv4 udp dst:255.255.255.255/32 dst-port:67
293,blipcareBPmeterMud,ingress controller:dns ipv4 udp src-port:53
294,blipcareBPmeterMud,ingress ipv4 tcp src:tech.carematix.com src-port:8777
295,blipcareBPmeterMud,ingress controller:gateway ipv4 udp src-port:67
296,blipcareBPmeterMud,egress local eth:0x888e
297,blipcareBPmeterMud,egress local eth:0x0006
298,canaryCameraMud,egress controller:gateway ipv4 udp dst-port:67
299,canaryCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:h.canaryis.com dst-port:80
300,canaryCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:m.canaryis.com dst-port:443
301,canaryCameraMud,egress local eth:0x0800 mac:ff:ff:ff:ff:ff:ff ipv4 udp dst:255.255.255.255/32 dst-port:67
302,canaryCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:ipv4.connman.net dst-port:80
303,canaryCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
304,canaryCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:09-wl2-d-prod.canaryis.com dst-port:443
305,canaryCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:v.canaryis.com dst-port:443
306,canaryCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:o.canaryis.com dst-port:443
307,canaryCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:80
308,canaryCameraMud,egress controller:dns ipv4 udp dst-port:53
309,canaryCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
310,canaryCameraMud,egress ipv4 tcp (direction-initiated:from-device) dst:h.canaryis.com dst-port:443
311,canaryCameraMud,ingress ipv4 tcp src:i.canaryis.com src-port:443
312,canaryCameraMud,ingress ipv4 tcp src:b.canaryis.com src-port:443
313,canaryCameraMud,ingress ipv4 tcp src:i.canaryis.com src-port:80
314,canaryCameraMud,ingress ipv4 tcp src:09-wl2-d-prod.canaryis.com src-port:443
315,canaryCameraMud,ingress ipv4 tcp src:h.canaryis.com src-port:80
316,canaryCameraMud,ingress controller:dns ipv4 udp src-port:53
317,canaryCameraMud,ingress ipv4 tcp src:o.canaryis.com src-port:443
318,canaryCameraMud,ingress ipv4 tcp src:h.canaryis.com src-port:443
319,canaryCameraMud,ingress ipv4 tcp src:ipv4.connman.net src-port:80
320,canaryCameraMud,ingress controller:gateway ipv4 udp src-port:67
321,canaryCameraMud,ingress ipv4 tcp src:v.canaryis.com src-port:443
322,canaryCameraMud,ingress ipv4 tcp src:m.canaryis.com src-port:443
323,canaryCameraMud,egress local eth:0x888e
324,canaryCameraMud,egress local eth:0x0006
325,canaryCameraMud,ingress local eth:0x888e
326,canaryCameraMud,ingress local eth:0x0006
327,chromecastUltraMud,egress ipv4 tcp (direction-initiated:from-device) dst:ad.doubleclick.net dst-port:443
328,chromecastUltraMud,egress local ipv4 igmp dst:224.0.0.251/32
329,chromecastUltraMud,egress ipv4 udp dst:pagead2.googlesyndication.com dst-port:443
330,chromecastUltraMud,egress ipv4 udp dst:www.googleapis.com dst-port:443
331,chromecastUltraMud,egress ipv4 tcp (direction-initiated:from-device) dst:ajax.googleapis.com dst-port:443
332,chromecastUltraMud,egress controller:dns ipv4 udp dst-port:53
333,chromecastUltraMud,egress ipv4 tcp (direction-initiated:from-device) dst:storage.googleapis.com dst-port:443
